,Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Type_Count,Pre_Count,Ing_Count,Top_Type,Top_Pre,Top_Ing,Total_Time,Type_Freq,Pre_Freq,Ing_Freq,Ing_Sim,Pre_Sim,Is_Aller
15,R016,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,30,Medium,U969,Gluten-Free,1,Feedback 16,2024-05-02,Spring,Party,5,208,,17.49,184,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.52486247,0.31877378,0
16,R017,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,86,Easy,U276,Vegan,2,Feedback 17,2024-12-06,Summer,Lunch,1,769,Soy,16.31,429,Yes,2,2,2,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14242914,0.094956286,1
17,R018,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,50,Hard,U646,Vegetarian,2,Feedback 18,2024-04-20,Fall,Lunch,2,473,Dairy,17.6,151,No,3,2,2,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",4,0.75,0.5,0.5,1.0000001,1.0,0
18,R019,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,63,Easy,U636,,3,Feedback 19,2024-04-26,Spring,Casual,6,735,Gluten,18.11,67,Yes,5,5,5,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",9,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,0
19,R020,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,47,Hard,U635,Vegetarian,4,Feedback 20,2024-05-25,Summer,Dinner,4,752,Dairy,13.82,414,Yes,3,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.375,0.25,0.25,0.3923667,0.7589728,0
20,R021,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,28,Easy,U180,Vegan,3,Feedback 21,2024-12-17,Fall,Party,3,527,Soy,7.35,50,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9999999,1.0,1
21,R022,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,64,Medium,U874,,3,Feedback 22,2024-09-09,Summer,Party,4,225,,19.5,288,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.61875,0.6008035,0
22,R023,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,39,Easy,U442,,2,Feedback 23,2024-09-26,Fall,Party,3,437,Gluten,12.31,341,Yes,8,5,5,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",11,0.7272727272727273,0.45454545454545453,0.45454545454545453,1.0,1.0,0
23,R024,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,68,Medium,U434,Gluten-Free,4,Feedback 24,2024-06-05,Summer,Party,6,678,,14.35,128,Yes,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",8,0.25,0.25,0.25,0.52486247,0.31877378,0
24,R025,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,63,Medium,U825,,3,Feedback 25,2024-08-05,Spring,Dinner,4,258,,18.37,240,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14242914,0.094956286,0
25,R026,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,34,Medium,U271,,3,Feedback 26,2024-10-17,Fall,Lunch,5,475,,6.8,436,No,2,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.9999999,0
26,R027,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,32,Easy,U994,Vegan,5,Feedback 27,2024-03-08,Winter,Party,2,510,Soy,7.47,131,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",4,0.75,0.75,0.75,0.9999999,1.0,1
27,R028,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,26,Hard,U583,Vegetarian,3,Feedback 28,2024-12-13,Summer,Lunch,1,477,Dairy,17.46,324,No,3,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",10,0.3,0.2,0.2,0.2935025,0.32049504,0
28,R029,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,76,Easy,U796,,5,Feedback 29,2024-10-28,Summer,Casual,6,388,Gluten,17.65,250,Yes,2,1,1,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",5,0.4,0.2,0.2,0.41570342,0.5425549,0
29,R030,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,24,Hard,U413,Vegetarian,3,Feedback 30,2024-04-03,Summer,Party,4,767,Dairy,11.74,287,No,3,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.3923667,0.7589728,0
30,R031,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U664,Gluten-Free,5,Feedback 31,2024-10-27,Fall,Casual,4,569,,14.9,445,No,3,3,3,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",6,0.5,0.5,0.5,1.0,0.99999994,0
31,R032,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,80,Easy,U951,,1,Feedback 32,2024-06-01,Summer,Casual,3,609,Gluten,6.18,77,No,4,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",7,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.41570342,1.0,0
32,R033,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,62,Medium,U798,,2,Feedback 33,2024-09-13,Fall,Lunch,1,377,,17.8,89,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",4,0.25,0.25,0.25,0.9999999,0.6008035,0
33,R034,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,51,Easy,U469,,2,Feedback 34,2024-12-20,Spring,Dinner,1,300,Gluten,11.81,136,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",4,0.5,0.5,0.5,1.0,1.0,0
34,R035,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,90,Medium,U171,Gluten-Free,5,Feedback 35,2024-04-24,Summer,Dinner,4,302,,8.38,69,Yes,3,3,3,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.99999994,0
35,R036,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,73,Hard,U437,Vegetarian,1,Feedback 36,2024-01-03,Fall,Dinner,4,433,Dairy,10.49,435,Yes,3,2,2,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",4,0.75,0.5,0.5,1.0000001,1.0,0
36,R037,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,69,Medium,U763,Gluten-Free,4,Feedback 37,2024-03-17,Fall,Lunch,5,227,,12.18,371,Yes,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",5,0.4,0.4,0.4,1.0,0.31877378,0
37,R038,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,33,Hard,U485,Vegetarian,3,Feedback 38,2024-08-02,Summer,Lunch,1,321,Dairy,11.93,432,No,1,1,1,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0871313,0.2420375,0
38,R039,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,76,Hard,U388,Vegetarian,5,Feedback 39,2024-04-11,Spring,Dinner,2,400,Dairy,17.59,463,No,4,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",5,0.8,0.4,0.4,1.0000001,0.24441317,0
39,R040,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,23,Hard,U458,Vegetarian,4,Feedback 40,2024-05-01,Winter,Lunch,3,267,Dairy,15.41,192,Yes,4,3,3,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",9,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.2935025,0.32049504,0
40,R041,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,48,Medium,U227,,3,Feedback 41,2024-10-31,Fall,Party,3,706,,7.17,106,Yes,4,4,4,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.5,0.5,0.5,0.9999999,0.9999999,0
41,R042,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,70,Medium,U443,Gluten-Free,3,Feedback 42,2024-10-30,Spring,Party,2,450,,12.77,476,No,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.52486247,0.31877378,0
42,R043,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,41,Medium,U916,Gluten-Free,4,Feedback 43,2024-05-17,Fall,Party,2,653,,12.7,472,No,2,2,2,Italian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.99999994,0
43,R044,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,75,Easy,U402,,4,Feedback 44,2024-09-19,Fall,Casual,5,567,Gluten,11.48,119,Yes,5,4,4,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",7,0.7142857142857143,0.5714285714285714,0.5714285714285714,1.0,1.0,0
44,R045,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,32,Medium,U399,Gluten-Free,3,Feedback 45,2024-08-15,Summer,Party,5,609,,10.55,176,No,2,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",5,0.4,0.4,0.4,1.0,0.99999994,0
45,R046,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,66,Hard,U840,Vegetarian,1,Feedback 46,2024-03-10,Spring,Dinner,2,740,Dairy,16.67,226,No,4,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.38125843,0.24441317,0
46,R047,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,39,Hard,U328,Vegetarian,5,Feedback 47,2024-10-07,Spring,Party,3,483,Dairy,17.84,102,Yes,3,3,3,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0000001,1.0,0
47,R048,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U266,,4,Feedback 48,2024-08-02,Spring,Party,4,476,,7.58,80,Yes,6,6,6,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.75,0.75,0.75,0.9999999,0.9999999,0
48,R049,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,28,Medium,U699,Gluten-Free,5,Feedback 49,2024-10-15,Spring,Party,1,712,,8.37,417,No,1,1,1,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",5,0.2,0.2,0.2,0.0871313,0.2420375,0
49,R050,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,83,Hard,U977,Vegetarian,2,Feedback 50,2024-06-09,Spring,Casual,4,385,Dairy,13.32,370,Yes,2,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",5,0.4,0.4,0.4,0.0871313,0.2420375,0
50,R051,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,27,Medium,U144,,5,Feedback 51,2024-04-06,Spring,Casual,5,401,,17.05,138,No,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3923667,0.6008035,0
51,R052,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,67,Medium,U324,Gluten-Free,1,Feedback 52,2024-02-07,Winter,Casual,1,547,,11.24,376,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.36058468,0.31877378,0
52,R053,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,76,Medium,U516,Gluten-Free,3,Feedback 53,2024-09-16,Summer,Casual,1,485,,18.71,85,No,3,3,3,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.99999994,0
53,R054,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,30,Easy,U379,,2,Feedback 54,2024-11-01,Summer,Lunch,3,604,Gluten,15.2,369,Yes,3,3,3,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,0
54,R055,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,22,Easy,U605,Vegan,4,Feedback 55,2024-07-20,Winter,Party,5,336,Soy,5.35,204,No,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.125,0.125,0.125,0.14242914,0.5425549,1
55,R056,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,86,Medium,U205,,4,Feedback 56,2024-06-11,Fall,Casual,6,772,,14.17,435,No,3,3,3,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9999999,0.9999999,0
56,R057,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,71,Medium,U971,,1,Feedback 57,2024-01-07,Fall,Casual,6,549,,8.29,239,Yes,3,3,3,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.5,0.5,0.5,0.9999999,0.9999999,0
57,R058,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,50,Medium,U198,Gluten-Free,2,Feedback 58,2024-06-12,Winter,Lunch,3,704,,18.62,226,Yes,1,1,1,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",2,0.5,0.5,0.5,1.0,0.99999994,0
